127.0.0.1 - - [07/Dec/2020:08:59:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:34 +0900] "GET /store/main/MainPage.jsp HTTP/1.1" 200 15024
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:34 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 23777
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/portrait/AC%20KINGDOM%20PREORDER_STANDARD%20EDITION_EPIC_Key_Art_Portrait_640x854.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/keyart/Cyber%20Punk_Key_Art_Portrait_976x549.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/portrait/HK_Portrait_1440x2160.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/portrait/RK-Portrait.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/keyart/Carto%20keyart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/profile/EGS_Cartoisachar1200x1600.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/keyart/HK_KeyArt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:35 +0900] "GET /store/image/keyart/AC%20keyart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:57 +0900] "POST /store/main/gameDetail.go?gseq=4 HTTP/1.1" 200 29379
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:57 +0900] "GET /store/image/main/Carto%20main2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:57 +0900] "GET /store/image/main/Carto%20main4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:57 +0900] "GET /store/image/profile/qr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:57 +0900] "GET /store/image/main/Carto%20main5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:57 +0900] "GET /store/image/main/Carto%20main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:08:59:57 +0900] "GET /store/image/profile/Carto%20main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:02:49 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 23777
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:02:53 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 23777
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:02:55 +0900] "GET /store/main/login.go HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:36 +0900] "GET /store/main/community.go HTTP/1.1" 200 19227
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:36 +0900] "GET /store/image/artwork/%EC%B6%9C%EC%84%9D%EC%B2%B4%ED%81%AC.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:36 +0900] "GET /store/image/artwork/qr%EC%BD%94%EB%93%9C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:37 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22847
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:41 +0900] "GET /store/main/login.go HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:47 +0900] "POST /store/main/login.go HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:47 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 23752
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:52 +0900] "GET /store/main/logout.go HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:52 +0900] "GET /store/main/login.go HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:56 +0900] "POST /store/main/login.go HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:56 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 23752
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:57 +0900] "GET /store/main/community.go HTTP/1.1" 200 19527
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:10:58 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22799
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:00 +0900] "GET /store/main/discussionDetail.go?dseq=9 HTTP/1.1" 200 19498
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:00 +0900] "GET /store/image/discussion/%ED%85%8C%EC%8A%A4%ED%8A%B8.jp HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:04 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22799
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:06 +0900] "GET /store/main/discussionDetail.go?dseq=11 HTTP/1.1" 200 19504
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:06 +0900] "GET /store/image/discussion/%ED%85%8C%EC%8A%A4%ED%8A%B83.jpg HTTP/1.1" 200 288064
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:08 +0900] "GET /store/main/logout.go HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:08 +0900] "GET /store/main/login.go HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:13 +0900] "POST /store/main/login.go HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:13 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 23752
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:15 +0900] "GET /store/main/community.go HTTP/1.1" 200 19901
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:15 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22799
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:17 +0900] "GET /store/main/discussionDetail.go?dseq=9 HTTP/1.1" 200 19498
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:17 +0900] "GET /store/image/discussion/%ED%85%8C%EC%8A%A4%ED%8A%B8.jp HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:18 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22799
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:52 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22607
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:11:52 +0900] "GET /store/image/icon/favicon.ico HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:17 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22847
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:17 +0900] "GET /store/image/icon/favicon.ico HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:22 +0900] "GET /store/main/discussionDetail.go?dseq=13 HTTP/1.1" 200 21972
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:23 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22847
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:25 +0900] "GET /store/main/logout.go HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:25 +0900] "GET /store/main/login.go HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:32 +0900] "POST /store/main/login.go HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:32 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24327
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:32 +0900] "GET /store/image/icon/alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:33 +0900] "GET /store/main/community.go HTTP/1.1" 200 21269
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:34 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 23422
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:35 +0900] "GET /store/main/discussionDetail.go?dseq=9 HTTP/1.1" 200 20701
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:35 +0900] "GET /store/image/discussion/%ED%85%8C%EC%8A%A4%ED%8A%B8.jp HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:38 +0900] "POST /store/main/deleteDiscussion.go?dseq=9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:38 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 22672
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:40 +0900] "GET /store/main/discussionDetail.go?dseq=10 HTTP/1.1" 200 20708
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:40 +0900] "GET /store/image/discussion/%ED%85%8C%EC%8A%A4%ED%8A%B82.jpg HTTP/1.1" 200 288064
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:43 +0900] "POST /store/main/deleteDiscussion.go?dseq=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:43 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 21921
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:44 +0900] "GET /store/main/discussionDetail.go?dseq=11 HTTP/1.1" 200 20709
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:46 +0900] "POST /store/main/deleteDiscussion.go?dseq=11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:46 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 21169
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:48 +0900] "GET /store/main/discussionDetail.go?dseq=12 HTTP/1.1" 200 23851
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:48 +0900] "GET /store/image/discussion/null HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:48 +0900] "GET /store/image/discussion/%ED%85%8C%EC%8A%A4%ED%8A%B84.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:49 +0900] "POST /store/main/deleteDiscussion.go?dseq=12 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:49 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 20415
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:51 +0900] "GET /store/main/discussionDetail.go?dseq=8 HTTP/1.1" 200 24237
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:51 +0900] "GET /store/image/discussion/%ED%87%B4%EC%8B%A4QR.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:51 +0900] "GET /store/image/discussion/qr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:54 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 20415
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:12:56 +0900] "GET /store/main/discussionDetail.go?dseq=13 HTTP/1.1" 200 23510
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:13:00 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 20416
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:13:02 +0900] "GET /store/main/discussionDetail.go?dseq=8 HTTP/1.1" 200 24237
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:13:04 +0900] "GET /store/main/discussion.go HTTP/1.1" 200 20416
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:40 +0900] "GET /store/main/review.go HTTP/1.1" 200 30703
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:40 +0900] "GET /store/image/profile/gamegrade_18.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:41 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24327
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:48 +0900] "POST /store/main/gameDetail.go?gseq=4 HTTP/1.1" 200 31161
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:51 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24327
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:52 +0900] "POST /store/main/gameDetail.go?gseq=1 HTTP/1.1" 200 18328
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:54 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24327
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:54 +0900] "POST /store/main/gameDetail.go?gseq=4 HTTP/1.1" 200 31161
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:55 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24327
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:56 +0900] "POST /store/main/gameDetail.go?gseq=7 HTTP/1.1" 200 18328
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:14:57 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24327
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:15:00 +0900] "POST /store/main/gameDetail.go?gseq=1 HTTP/1.1" 200 18328
0:0:0:0:0:0:0:1 - - [07/Dec/2020:09:15:03 +0900] "GET /store/main/ogu.go HTTP/1.1" 200 24327
