127.0.0.1 - - [25/Oct/2020:23:09:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:09:19 +0900] "GET /webapp/market/headerPage.jsp HTTP/1.1" 200 6017
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:09:20 +0900] "GET /webapp/market/img/profileB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:09:20 +0900] "GET /webapp/market/img/nyamlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:09:20 +0900] "GET /webapp/market/img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:09:20 +0900] "GET /webapp/market/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:09:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:09:22 +0900] "GET /webapp/LoginServlet HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:14:20 +0900] "GET /webapp/market/headerPage.jsp HTTP/1.1" 200 6022
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:14:22 +0900] "GET /webapp/LoginServlet.java HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:14:28 +0900] "GET /webapp/market/headerPage.jsp HTTP/1.1" 200 6022
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:14:29 +0900] "GET /webapp/LoginServlet.java HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:21:59 +0900] "GET /webapp/market/mainPage.jsp HTTP/1.1" 200 8293
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:22:01 +0900] "GET /webapp/LoginServlet HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:22:30 +0900] "GET /webapp/market/headerPage.jsp HTTP/1.1" 200 6019
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:22:32 +0900] "GET /webapp/webapp/LoginServlet HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:22:41 +0900] "GET /webapp/market/headerPage.jsp HTTP/1.1" 200 6012
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:22:42 +0900] "GET /webapp/LoginServlet HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:22:59 +0900] "GET /webapp/market/mainPage.jsp HTTP/1.1" 200 8293
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:23:00 +0900] "GET /webapp/LoginServlet.java HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:23:15 +0900] "GET /webapp/market/headerPage.jsp HTTP/1.1" 200 6012
0:0:0:0:0:0:0:1 - - [25/Oct/2020:23:23:16 +0900] "GET /webapp/LoginServlet HTTP/1.1" 404 830
